[2024-03-18 / 19:18:00.017] [1] [walletPoll] Cycle iteration time: 999.9µs (Average: 999.9µs); Sleeping
[2024-03-18 / 19:18:00.041] [1] [mainPoll] Cycle iteration time: 0s (Average: 0s); Sleeping
[2024-03-18 / 19:18:00.042] [1] [dirtyPoll] Cycle iteration time: 10.0015ms (Average: 10.0015ms); Sleeping
[2024-03-18 / 19:19:00.307] [2] [walletPoll] Cycle iteration time: 260.5793ms (Average: 130.7896ms); Sleeping
[2024-03-18 / 19:20:00.044] [2] [mainPoll] Cycle iteration time: 1.0152ms (Average: 507.6µs); Sleeping
[2024-03-18 / 19:20:00.328] [2] [dirtyPoll] Cycle iteration time: 291.5166ms (Average: 150.75905ms); Sleeping
[2024-03-18 / 19:20:00.822] [3] [walletPoll] Cycle iteration time: 771.1668ms (Average: 344.248666ms); Sleeping
[2024-03-18 / 19:21:00.426] [4] [walletPoll] Cycle iteration time: 335.543ms (Average: 342.07225ms); Sleeping
[2024-03-18 / 19:22:00.134] [5] [walletPoll] Cycle iteration time: 38.768ms (Average: 281.4114ms); Sleeping
[2024-03-18 / 19:22:00.187] [3] [mainPoll] Cycle iteration time: 137.438ms (Average: 46.151066ms); Sleeping
[2024-03-18 / 19:22:00.204] [3] [dirtyPoll] Cycle iteration time: 167.1798ms (Average: 156.232633ms); Sleeping
[2024-03-18 / 19:22:37.442] [1] [neighborPoll] Cycle iteration time: 4m37.4280965s (Average: 4m37.4280965s); Sleeping
[2024-03-18 / 19:23:00.106] [6] [walletPoll] Cycle iteration time: 1.9986ms (Average: 234.8426ms); Sleeping
[2024-03-18 / 19:24:00.051] [4] [mainPoll] Cycle iteration time: 998.4µs (Average: 34.8629ms); Sleeping
[2024-03-18 / 19:24:00.053] [4] [dirtyPoll] Cycle iteration time: 1.7963ms (Average: 117.62355ms); Sleeping
[2024-03-18 / 19:24:00.115] [7] [walletPoll] Cycle iteration time: 512.7µs (Average: 201.3669ms); Sleeping
[2024-03-18 / 19:25:00.140] [8] [walletPoll] Cycle iteration time: 0s (Average: 176.196037ms); Sleeping
[2024-03-18 / 19:26:00.065] [5] [mainPoll] Cycle iteration time: 511.6µs (Average: 27.99264ms); Sleeping
[2024-03-18 / 19:26:00.065] [5] [dirtyPoll] Cycle iteration time: 1.1957ms (Average: 94.33798ms); Sleeping
